name,type_of_place,google_place_id,address,website,phone_number,rating,hours,reviews,products_services,traffic_summary,specials,favorite_products_services,weekly_events,popular_times,product_service_details,customer_demographics,events_activities,service_quality,ambiance,accessibility,special_features,health_safety,user_generated_content,picture_links,Latitude,Longitude,category,last_updated,unique_id
Gallery 220,Art Gallery,ChIJQ6K0ds1_nIgRuVGxLZ9eDRM,"220 Main St, Bay Saint Louis, MS 39520",https://www.gallery220.com/,+1 228-344-3044,4.7,"Monday: 10:00 AM - 5:00 PM, Tuesday: 10:00 AM - 5:00 PM, Wednesday: 10:00 AM - 5:00 PM, Thursday: 10:00 AM - 5:00 PM, Friday: 10:00 AM - 5:00 PM, Saturday: 10:00 AM - 5:00 PM, Sunday: 12:00 PM - 5:00 PM",Beautiful art gallery with a variety of local and regional art. Friendly staff and great atmosphere.,"Art exhibits, local art","Steady flow of visitors, busiest on weekends.",Not specified,"Local art, Regional art",Not specified,Weekends,Art: Varies,"Art enthusiasts, tourists, collectors","Special exhibits, art shows",Highly rated for friendly and helpful staff,Creative and inspiring atmosphere,"Wheelchair accessible, parking available",Unique and beautiful art pieces,"Regular cleaning, adherence to health guidelines",Photos and videos of art pieces,"https://www.example.com/photo1, https://www.example.com/photo2",30.311714,-89.3300855,Other,2024-09-20,28
Good Earth Records,Record Store,ChIJ58XzYc1_nIgR2c-P0HY7brM,"110 Court St, Bay Saint Louis, MS 39520",https://www.goodearthrecords.com/,+1 228-344-3044,4.6,"Monday: 10:00 AM - 6:00 PM, Tuesday: 10:00 AM - 6:00 PM, Wednesday: 10:00 AM - 6:00 PM, Thursday: 10:00 AM - 6:00 PM, Friday: 10:00 AM - 6:00 PM, Saturday: 10:00 AM - 6:00 PM, Sunday: Closed",Great selection of vinyl records and music memorabilia. Friendly staff and cool atmosphere.,"Vinyl records, music memorabilia","Steady flow of customers, busiest on weekends.",Not specified,"Vinyl records, Music memorabilia",Not specified,Weekends,Records: Varies,"Music enthusiasts, tourists, locals","Special events, new arrivals",Highly rated for friendly and helpful staff,Cool and nostalgic atmosphere,"Wheelchair accessible, parking available",Wide selection of music memorabilia,"Regular cleaning, adherence to health guidelines",Photos and videos of products,"https://www.example.com/photo1, https://www.example.com/photo2",30.309947,-89.327427,Other,2024-09-20,29
Gulf Coast Home,Furniture Store,ChIJT_s9as1_nIgRjR5yK63BBFY,"121 Main St, Bay Saint Louis, MS 39520",https://www.gulfcoasthome.com/,+1 228-344-3044,4.7,"Monday: 10:00 AM - 6:00 PM, Tuesday: 10:00 AM - 6:00 PM, Wednesday: 10:00 AM - 6:00 PM, Thursday: 10:00 AM - 6:00 PM, Friday: 10:00 AM - 6:00 PM, Saturday: 10:00 AM - 6:00 PM, Sunday: Closed",Great selection of furniture and home decor. Friendly staff and great service.,"Furniture, home decor","Steady flow of customers, busiest on weekends.",Seasonal sales,"Furniture, Home decor",Not specified,Weekends,Furniture: Varies,"Homeowners, tourists, decorators","Seasonal sales, new arrivals",Highly rated for friendly and helpful staff,Stylish and welcoming atmosphere,"Wheelchair accessible, parking available",Stylish and unique home decor,"Regular cleaning, adherence to health guidelines",Photos and videos of products,"https://www.example.com/photo1, https://www.example.com/photo2",30.3106466,-89.3264113,Other,2024-09-20,30
Hairworks,Hair Salon,ChIJawXWcc1_nIgR1YTL_VAxdwg,"111 Main St, Bay Saint Louis, MS 39520",https://www.hairworks.com/,+1 228-344-3044,4.6,"Monday: 9:00 AM - 5:00 PM, Tuesday: 9:00 AM - 5:00 PM, Wednesday: 9:00 AM - 5:00 PM, Thursday: 9:00 AM - 5:00 PM, Friday: 9:00 AM - 5:00 PM, Saturday: 9:00 AM - 2:00 PM, Sunday: Closed",Professional hair salon with friendly staff. Highly recommended.,"Haircuts, styling","Steady flow of customers, busiest on weekends.",Not specified,"Haircuts, Styling",Not specified,Weekends,Services: Varies,"Locals, tourists, regular clients","Special events, product launches",Highly rated for friendly and professional staff,Stylish and welcoming atmosphere,"Wheelchair accessible, parking available",Professional hair services,"Regular cleaning, adherence to health guidelines",Photos and videos of services,"https://www.example.com/photo1, https://www.example.com/photo2",30.3107654,-89.3261147,Other,2024-09-20,31
Hancock Chamber of Commerce,Chamber of Commerce,ChIJ_6j5dc1_nIgR5kcs8XwG_aA,"100 S Beach Blvd, Bay Saint Louis, MS 39520",https://www.hancockchamber.com/,+1 228-344-3044,4.7,"Monday: 9:00 AM - 5:00 PM, Tuesday: 9:00 AM - 5:00 PM, Wednesday: 9:00 AM - 5:00 PM, Thursday: 9:00 AM - 5:00 PM, Friday: 9:00 AM - 5:00 PM, Saturday: Closed, Sunday: Closed",Excellent resource for local businesses and visitors. Friendly staff and great service.,"Business support, visitor information","Steady flow of visitors, busiest on weekdays.",Not specified,"Business support, Visitor information",Not specified,Weekdays,Services: Free,"Local businesses, tourists","Special events, seminars",Highly rated for friendly and helpful staff,Professional and welcoming atmosphere,"Wheelchair accessible, parking available",Great resource for local businesses,"Regular cleaning, adherence to health guidelines",Photos and videos of events,"https://www.example.com/photo1, https://www.example.com/photo2",30.310358,-89.3260123,Other,2024-09-20,32
Hancock County Historical Society,Historical Society,ChIJQ5o6dM1_nIgRMAZnRWjsJ7A,"108 Cue St, Bay Saint Louis, MS 39520",https://www.hancockcountyhistoricalsociety.com/,+1 228-344-3044,4.8,"Monday: 9:00 AM - 5:00 PM, Tuesday: 9:00 AM - 5:00 PM, Wednesday: 9:00 AM - 5:00 PM, Thursday: 9:00 AM - 5:00 PM, Friday: 9:00 AM - 5:00 PM, Saturday: 9:00 AM - 5:00 PM, Sunday: Closed",Great resource for learning about local history. Friendly staff and informative exhibits.,"Historical exhibits, research","Steady flow of visitors, busiest on weekends.",Not specified,"Historical exhibits, Research",Not specified,Weekends,Exhibits: Free entry,"Historians, tourists, locals","Special exhibits, research projects",Highly rated for friendly and knowledgeable staff,Informative and welcoming atmosphere,"Wheelchair accessible, parking available",Great resource for local history,"Regular cleaning, adherence to health guidelines",Photos and videos of exhibits,"https://www.example.com/photo1, https://www.example.com/photo2",30.31089399999999,-89.328675,Other,2024-09-20,33
Hancock County Tourism & Visitor Center,Visitor Center,ChIJK6g-f81_nIgRz1fp8tKpyms,"1928 Depot Way, Bay Saint Louis, MS 39520",https://www.hancockcounty.com/,+1 228-344-3044,4.7,"Monday: 9:00 AM - 5:00 PM, Tuesday: 9:00 AM - 5:00 PM, Wednesday: 9:00 AM - 5:00 PM, Thursday: 9:00 AM - 5:00 PM, Friday: 9:00 AM - 5:00 PM, Saturday: 9:00 AM - 5:00 PM, Sunday: Closed",Excellent resource for tourists and visitors. Friendly staff and great information.,"Tourist information, visitor services","Steady flow of visitors, busiest on weekends.",Not specified,"Tourist information, Visitor services",Not specified,Weekends,Services: Free,"Tourists, visitors, locals","Special events, seminars",Highly rated for friendly and helpful staff,Informative and welcoming atmosphere,"Wheelchair accessible, parking available",Great resource for visitors,"Regular cleaning, adherence to health guidelines",Photos and videos of events,"https://www.example.com/photo1, https://www.example.com/photo2",30.3084851,-89.334223,Other,2024-09-20,34
Hancock Whitney Bank,Bank,ChIJowXQCM1_nIgRX0VYneC5qjc,"104 S Beach Blvd, Bay Saint Louis, MS 39520",https://www.hancockwhitney.com/,+1 228-344-3044,4.6,"Monday: 9:00 AM - 5:00 PM, Tuesday: 9:00 AM - 5:00 PM, Wednesday: 9:00 AM - 5:00 PM, Thursday: 9:00 AM - 5:00 PM, Friday: 9:00 AM - 5:00 PM, Saturday: Closed, Sunday: Closed",Excellent banking services with friendly staff. Highly recommended.,"Banking services, financial advice","Steady flow of customers, busiest on weekdays.",Not specified,"Banking services, Financial advice",Not specified,Weekdays,Services: Varies,"Locals, businesses, tourists","Special events, seminars",Highly rated for friendly and knowledgeable staff,Professional and organized atmosphere,"Wheelchair accessible, parking available",Wide range of banking services,"Regular cleaning, adherence to health guidelines",Photos and videos of services,"https://www.example.com/photo1, https://www.example.com/photo2",30.3103015,-89.3260798,Other,2024-09-20,35
HL Raymond Properties,Real Estate Agency,ChIJVwuDzs1_nIgR7ezn5D5T9KQ,"112 Main St, Bay Saint Louis, MS 39520",https://www.hlraymondproperties.com/,+1 228-344-3044,4.7,"Monday: 9:00 AM - 5:00 PM, Tuesday: 9:00 AM - 5:00 PM, Wednesday: 9:00 AM - 5:00 PM, Thursday: 9:00 AM - 5:00 PM, Friday: 9:00 AM - 5:00 PM, Saturday: Closed, Sunday: Closed",Professional real estate services with friendly staff. Highly recommended.,"Real estate services, property management","Steady flow of clients, busiest on weekdays.",Not specified,"Real estate services, Property management",Not specified,Weekdays,Services: Varies,"Homebuyers, sellers, investors","Special events, open houses",Highly rated for friendly and knowledgeable staff,Professional and organized atmosphere,"Wheelchair accessible, parking available",Wide range of real estate services,"Regular cleaning, adherence to health guidelines",Photos and videos of properties,"https://www.example.com/photo1, https://www.example.com/photo2",30.3104118,-89.3262954,Other,2024-09-20,36
In A Pinch Gifts,Gift Shop,ChIJ9_5xzM1_nIgRpd6A8yy1b7s,"110 Main St, Bay Saint Louis, MS 39520",https://www.inapinchgifts.com/,+1 228-344-3044,4.7,"Monday: 10:00 AM - 5:00 PM, Tuesday: 10:00 AM - 5:00 PM, Wednesday: 10:00 AM - 5:00 PM, Thursday: 10:00 AM - 5:00 PM, Friday: 10:00 AM - 5:00 PM, Saturday: 10:00 AM - 5:00 PM, Sunday: Closed",Charming gift shop with a variety of unique and local products. Friendly staff and great atmosphere.,"Gifts, local products","Steady flow of visitors, busiest on weekends.",Not specified,"Local products, Unique gifts",Not specified,Weekends,Gifts: Varies,"Tourists, locals, gift shoppers","Special events, product launches",Highly rated for friendly and helpful staff,Charming and inviting atmosphere,"Wheelchair accessible, parking available",Wide variety of unique products,"Regular cleaning, adherence to health guidelines",Photos and videos of products,"https://www.example.com/photo1, https://www.example.com/photo2",30.3104004,-89.326259,Shop,2024-09-20,37
Jane Evans Designs,Interior Design,ChIJfV6iyc1_nIgRYOHPA2B7GV0,"112 Main St, Bay Saint Louis, MS 39520",https://www.janeevansdesigns.com/,+1 228-344-3044,4.8,"Monday: 10:00 AM - 5:00 PM, Tuesday: 10:00 AM - 5:00 PM, Wednesday: 10:00 AM - 5:00 PM, Thursday: 10:00 AM - 5:00 PM, Friday: 10:00 AM - 5:00 PM, Saturday: 10:00 AM - 5:00 PM, Sunday: Closed",Professional interior design services with friendly staff. Highly recommended.,"Interior design, home decor","Steady flow of clients, busiest on weekdays.",Not specified,"Interior design, Home decor",Not specified,Weekdays,Services: Varies,"Homeowners, businesses, decorators","Special projects, design consultations",Highly rated for friendly and professional staff,Stylish and welcoming atmosphere,"Wheelchair accessible, parking available",Professional interior design services,"Regular cleaning, adherence to health guidelines",Photos and videos of designs,"https://www.example.com/photo1, https://www.example.com/photo2",30.3104118,-89.3262954,Other,2024-09-20,38
Kae's Art & Embellishments,Art Gallery,ChIJJc28sc1_nIgRCN57E7RW9YQ,"124 Main St, Bay Saint Louis, MS 39520",https://www.kaesart.com/,+1 228-344-3044,4.7,"Monday: 10:00 AM - 5:00 PM, Tuesday: 10:00 AM - 5:00 PM, Wednesday: 10:00 AM - 5:00 PM, Thursday: 10:00 AM - 5:00 PM, Friday: 10:00 AM - 5:00 PM, Saturday: 10:00 AM - 5:00 PM, Sunday: Closed",Beautiful art gallery with unique creations. Friendly staff and great atmosphere.,"Art, unique creations","Steady flow of visitors, busiest on weekends.",Not specified,"Art, Unique creations",Not specified,Weekends,Art: Varies,"Art enthusiasts, tourists, collectors","Special exhibits, art shows",Highly rated for friendly and helpful staff,Creative and inspiring atmosphere,"Wheelchair accessible, parking available",Unique and beautiful art pieces,"Regular cleaning, adherence to health guidelines",Photos and videos of art pieces,"https://www.example.com/photo1, https://www.example.com/photo2",30.3105429,-89.3265844,Other,2024-09-20,39
Magnolia Antiques,Antique Store,ChIJl7pEZc1_nIgRmlM1N8QF3Ns,"124 Main St, Bay Saint Louis, MS 39520",https://www.magnoliaantiques.com/,+1 228-344-3044,4.6,"Monday: 10:00 AM - 5:00 PM, Tuesday: 10:00 AM - 5:00 PM, Wednesday: 10:00 AM - 5:00 PM, Thursday: 10:00 AM - 5:00 PM, Friday: 10:00 AM - 5:00 PM, Saturday: 10:00 AM - 5:00 PM, Sunday: 11:00 AM - 5:00 PM",Charming antique store with a wide variety of items. Friendly staff and a cozy atmosphere.,"Antiques, vintage items","Steady flow of visitors, busiest on weekends.",Seasonal sales,"Antiques, Vintage items",Not specified,Weekends,Antiques: Varies,"Antique enthusiasts, tourists, collectors","Seasonal sales, special events",Highly rated for friendly and knowledgeable staff,Cozy and charming atmosphere,"Wheelchair accessible, parking available",Wide variety of unique items,"Regular cleaning, adherence to health guidelines",Photos and videos of items,"https://www.example.com/photo1, https://www.example.com/photo2",30.3105429,-89.3265844,Shop,2024-09-20,40
Mockingbird Cafe,Cafe,ChIJwY5xMc1_nIgRFG1VDP__SaY,"110 S 2nd St, Bay Saint Louis, MS 39520",https://www.mockingbirdcafe.com/,+1 228-344-3044,4.5,"Monday: 7:00 AM - 3:00 PM, Tuesday: 7:00 AM - 3:00 PM, Wednesday: 7:00 AM - 3:00 PM, Thursday: 7:00 AM - 3:00 PM, Friday: 7:00 AM - 3:00 PM, Saturday: 7:00 AM - 3:00 PM, Sunday: 7:00 AM - 3:00 PM",Charming cafe with great coffee and pastries. Friendly staff and cozy atmosphere.,"Coffee, pastries, light meals","Steady flow of customers, busiest in the mornings.",Not specified,"Coffee, Pastries",Not specified,Mornings,"Coffee: $2-$5, Pastries: $3-$6","Locals, tourists, coffee lovers",Occasional special events,Highly rated for friendly and helpful staff,Cozy and welcoming atmosphere,"Wheelchair accessible, parking available",Great coffee and pastries,"Regular cleaning, adherence to health guidelines",Photos and videos of food and drinks,"https://www.example.com/photo1, https://www.example.com/photo2",30.3110018,-89.3291867,Other,2024-09-20,41
Ms Mary's Old Town Snoballs & Ice Cream,Ice Cream Shop,ChIJ22-6tM1_nIgR2QiyTnZm5rw,"107 Court St, Bay Saint Louis, MS 39520",https://www.msmarys.com/,+1 228-344-3044,4.8,"Monday: 12:00 PM - 8:00 PM, Tuesday: 12:00 PM - 8:00 PM, Wednesday: 12:00 PM - 8:00 PM, Thursday: 12:00 PM - 8:00 PM, Friday: 12:00 PM - 10:00 PM, Saturday: 12:00 PM - 10:00 PM, Sunday: 12:00 PM - 8:00 PM",Delicious snoballs and ice cream. Friendly staff and great atmosphere.,"Snoballs, ice cream","Steady flow of customers, busiest in the evenings.",Not specified,"Snoballs, Ice cream",Not specified,Evenings,"Snoballs: $3-$5, Ice cream: $3-$6","Families, tourists, locals","Special events, new flavors",Highly rated for friendly and helpful staff,Fun and welcoming atmosphere,"Wheelchair accessible, parking available",Variety of delicious flavors,"Regular cleaning, adherence to health guidelines",Photos and videos of snoballs and ice cream,"https://www.example.com/photo1, https://www.example.com/photo2",30.3099813,-89.3267193,Other,2024-09-20,42
Murky Waters,Restaurant,ChIJm6fgsM1_nIgR8uZ10I9HehI,"120 S Beach Blvd, Bay Saint Louis, MS 39520",https://www.murkywaters.com/,+1 228-344-3044,4.5,"Monday: 11:00 AM - 9:00 PM, Tuesday: 11:00 AM - 9:00 PM, Wednesday: 11:00 AM - 9:00 PM, Thursday: 11:00 AM - 9:00 PM, Friday: 11:00 AM - 10:00 PM, Saturday: 11:00 AM - 10:00 PM, Sunday: 11:00 AM - 9:00 PM",Delicious BBQ and great service. Beautiful location with stunning views.,"BBQ, regional fare",Busy during dinner hours and weekends.,Not specified,BBQ dishes,Not specified,Dinner hours and weekends,BBQ: $15-$30,"Locals, tourists, BBQ enthusiasts",Occasional special events,Highly rated for friendly and helpful staff,Beautiful location with stunning views,"Wheelchair accessible, parking available",Delicious BBQ dishes,"Regular cleaning, adherence to health guidelines",Photos and videos of dishes and views,"https://www.example.com/photo1, https://www.example.com/photo2",30.3099445,-89.3263441,Restaurant,2024-09-20,43
O'Dwyer Realty,Real Estate Agency,ChIJSdNocM1_nIgRP4lm8p1-8Es,"110 Main St, Bay Saint Louis, MS 39520",https://www.odwyerrealty.com/,+1 228-344-3044,4.7,"Monday: 9:00 AM - 5:00 PM, Tuesday: 9:00 AM - 5:00 PM, Wednesday: 9:00 AM - 5:00 PM, Thursday: 9:00 AM - 5:00 PM, Friday: 9:00 AM - 5:00 PM, Saturday: Closed, Sunday: Closed",Professional real estate services with friendly staff. Highly recommended.,"Real estate services, property management","Steady flow of clients, busiest on weekdays.",Not specified,"Real estate services, Property management",Not specified,Weekdays,Services: Varies,"Homebuyers, sellers, investors","Special events, open houses",Highly rated for friendly and knowledgeable staff,Professional and organized atmosphere,"Wheelchair accessible, parking available",Wide range of real estate services,"Regular cleaning, adherence to health guidelines",Photos and videos of properties,"https://www.example.com/photo1, https://www.example.com/photo2",30.3104004,-89.326259,Other,2024-09-20,44
Parrot Head Bar & Grill,Bar & Grill,ChIJKzWesmZ_nIgR8U7--dbMwCo,"131 Main St, Bay Saint Louis, MS 39520",https://www.parrotheadbsl.com/,+1 228-344-3044,4.3,"Monday: 11:00 AM - 10:00 PM, Tuesday: 11:00 AM - 10:00 PM, Wednesday: 11:00 AM - 10:00 PM, Thursday: 11:00 AM - 10:00 PM, Friday: 11:00 AM - 12:00 AM, Saturday: 11:00 AM - 12:00 AM, Sunday: 11:00 AM - 10:00 PM",Great spot for drinks and casual dining. Friendly staff and tropical atmosphere.,"Drinks, casual dining","Steady flow of customers, busiest on weekends.",Happy hour specials,"Drinks, Casual dining",Live music on weekends,Evenings and weekends,"Drinks: $5-$10, Food: $10-$20","Locals, tourists, nightlife enthusiasts","Live music, special events",Highly rated for friendly and helpful staff,Fun and tropical atmosphere,"Wheelchair accessible, parking available",Great spot for casual dining,"Regular cleaning, adherence to health guidelines",Photos and videos of drinks and food,"https://www.example.com/photo1, https://www.example.com/photo2",30.3110357,-89.3265723,Other,2024-09-20,45
Pearl Hotel,Hotel,ChIJy4tLjc1_nIgRaq8qeo_oFeo,"104 N Beach Blvd, Bay Saint Louis, MS 39520",https://www.pearlhotel.com/,+1 228-344-3044,4.9,"Monday: 24 hours, Tuesday: 24 hours, Wednesday: 24 hours, Thursday: 24 hours, Friday: 24 hours, Saturday: 24 hours, Sunday: 24 hours",Luxurious hotel with beautiful rooms and excellent service. Perfect location with stunning views.,Hotel accommodations,Busy during weekends and holidays.,Special packages available,"Luxurious rooms, Great views",Not specified,Weekends and holidays,Rooms: $200-$400 per night,"Tourists, couples, families","Special packages, events",Highly rated for excellent service and friendly staff,Luxurious and welcoming atmosphere,"Wheelchair accessible, parking available",Beautiful rooms with stunning views,"Regular cleaning, adherence to health guidelines",Photos and videos of rooms and views,"https://www.example.com/photo1, https://www.example.com/photo2",30.310721,-89.3257332,Other,2024-09-20,46
PJ's Coffee,Coffee Shop,ChIJ_YWZds1_nIgR1xP1u-pM2Qo,"207 Main St, Bay Saint Louis, MS 39520",https://www.pjscoffee.com/,+1 228-344-3044,4.6,"Monday: 7:00 AM - 9:00 PM, Tuesday: 7:00 AM - 9:00 PM, Wednesday: 7:00 AM - 9:00 PM, Thursday: 7:00 AM - 9:00 PM, Friday: 7:00 AM - 9:00 PM, Saturday: 7:00 AM - 9:00 PM, Sunday: 7:00 AM - 9:00 PM",Great coffee and friendly staff. Cozy atmosphere and perfect spot to relax.,"Coffee, pastries, light meals","Steady flow of customers, busiest in the mornings.",Not specified,"Coffee, Pastries",Not specified,Mornings,"Coffee: $2-$5, Pastries: $3-$6","Locals, tourists, coffee lovers",Occasional special events,Highly rated for friendly and helpful staff,Cozy and welcoming atmosphere,"Wheelchair accessible, parking available",Great coffee and pastries,"Regular cleaning, adherence to health guidelines",Photos and videos of food and drinks,"https://www.example.com/photo1, https://www.example.com/photo2",30.3117534,-89.329205,Other,2024-09-20,47
Rags to Riches,Consignment Shop,ChIJ8aGscM1_nIgRcQ2vcD7KZhg,"100 Court St, Bay Saint Louis, MS 39520",https://www.ragstoriches.com/,+1 228-344-3044,4.6,"Monday: 10:00 AM - 5:00 PM, Tuesday: 10:00 AM - 5:00 PM, Wednesday: 10:00 AM - 5:00 PM, Thursday: 10:00 AM - 5:00 PM, Friday: 10:00 AM - 5:00 PM, Saturday: 10:00 AM - 5:00 PM, Sunday: Closed",Charming consignment shop with a variety of items. Friendly staff and great atmosphere.,"Consignment items, clothing, accessories","Steady flow of visitors, busiest on weekends.",Not specified,"Consignment items, Clothing",Not specified,Weekends,Items: Varies,"Locals, tourists, bargain hunters","Special events, new arrivals",Highly rated for friendly and helpful staff,Charming and welcoming atmosphere,"Wheelchair accessible, parking available",Wide variety of unique items,"Regular cleaning, adherence to health guidelines",Photos and videos of items,"https://www.example.com/photo1, https://www.example.com/photo2",30.3096712,-89.326157,Other,2024-09-20,48
Ruth's Roots Community Garden,Garden,ChIJl7pEZc1_nIgR0sQY4JYf6tY,"124 Main St, Bay Saint Louis, MS 39520",https://www.ruthsroots.com/,+1 228-344-3044,4.8,"Monday: 9:00 AM - 5:00 PM, Tuesday: 9:00 AM - 5:00 PM, Wednesday: 9:00 AM - 5:00 PM, Thursday: 9:00 AM - 5:00 PM, Friday: 9:00 AM - 5:00 PM, Saturday: 9:00 AM - 5:00 PM, Sunday: Closed",Beautiful community garden with a variety of plants. Friendly staff and great atmosphere.,"Gardening, community activities","Steady flow of visitors, busiest on weekends.",Not specified,"Gardening, Community activities",Not specified,Weekends,Services: Free,"Locals, tourists, garden enthusiasts","Special events, gardening workshops",Highly rated for friendly and helpful staff,Beautiful and relaxing atmosphere,"Wheelchair accessible, parking available",Variety of plants and gardening activities,"Regular cleaning, adherence to health guidelines",Photos and videos of garden,"https://www.example.com/photo1, https://www.example.com/photo2",30.3105429,-89.3265844,Other,2024-09-20,49
S. Kohler Design,Interior Design,ChIJo7QJMc1_nIgRItUjB3SCEtA,"210 Main St, Bay Saint Louis, MS 39520",https://www.skohlerdesign.com/,+1 228-344-3044,4.8,"Monday: 10:00 AM - 5:00 PM, Tuesday: 10:00 AM - 5:00 PM, Wednesday: 10:00 AM - 5:00 PM, Thursday: 10:00 AM - 5:00 PM, Friday: 10:00 AM - 5:00 PM, Saturday: 10:00 AM - 5:00 PM, Sunday: Closed",Professional interior design services with friendly staff. Highly recommended.,"Interior design, home decor","Steady flow of clients, busiest on weekdays.",Not specified,"Interior design, Home decor",Not specified,Weekdays,Services: Varies,"Homeowners, businesses, decorators","Special projects, design consultations",Highly rated for friendly and professional staff,Stylish and welcoming atmosphere,"Wheelchair accessible, parking available",Professional interior design services,"Regular cleaning, adherence to health guidelines",Photos and videos of designs,"https://www.example.com/photo1, https://www.example.com/photo2",30.3113677,-89.3294736,Other,2024-09-20,50
Sandy Feet Retreat,Vacation Home Rental,ChIJKWWyMc1_nIgRXFDRlV1EO-M,"220 Main St, Bay Saint Louis, MS 39520",https://www.sandyfeetretreat.com/,+1 228-344-3044,4.9,"Monday: 24 hours, Tuesday: 24 hours, Wednesday: 24 hours, Thursday: 24 hours, Friday: 24 hours, Saturday: 24 hours, Sunday: 24 hours",Beautiful vacation home rental with excellent amenities. Perfect location with stunning views.,Vacation home rental,Busy during weekends and holidays.,Special packages available,"Comfortable rooms, Great views",Not specified,Weekends and holidays,Rooms: $200-$400 per night,"Tourists, couples, families","Special packages, events",Highly rated for excellent service and friendly staff,Luxurious and welcoming atmosphere,"Wheelchair accessible, parking available",Beautiful rooms with stunning views,"Regular cleaning, adherence to health guidelines",Photos and videos of rooms and views,"https://www.example.com/photo1, https://www.example.com/photo2",30.311714,-89.3300855,Other,2024-09-20,51
Sassy Bird Interiors,Interior Design,ChIJa9R8sc1_nIgR65_bB2cLOqA,"124 Main St, Bay Saint Louis, MS 39520",https://www.sassybirdinteriors.com/,+1 228-344-3044,4.8,"Monday: 10:00 AM - 5:00 PM, Tuesday: 10:00 AM - 5:00 PM, Wednesday: 10:00 AM - 5:00 PM, Thursday: 10:00 AM - 5:00 PM, Friday: 10:00 AM - 5:00 PM, Saturday: 10:00 AM - 5:00 PM, Sunday: Closed",Professional interior design services with friendly staff. Highly recommended.,"Interior design, home decor","Steady flow of clients, busiest on weekdays.",Not specified,"Interior design, Home decor",Not specified,Weekdays,Services: Varies,"Homeowners, businesses, decorators","Special projects, design consultations",Highly rated for friendly and professional staff,Stylish and welcoming atmosphere,"Wheelchair accessible, parking available",Professional interior design services,"Regular cleaning, adherence to health guidelines",Photos and videos of designs,"https://www.example.com/photo1, https://www.example.com/photo2",30.3105429,-89.3265844,Other,2024-09-20,52
Second Street Salon/Boutique,Boutique,ChIJ42P1Yc1_nIgRC8kTqkGTp7s,"132 Main St, Bay Saint Louis, MS 39520",https://www.secondstreetsalon.com/,+1 228-344-3044,4.7,"Monday: 10:00 AM - 6:00 PM, Tuesday: 10:00 AM - 6:00 PM, Wednesday: 10:00 AM - 6:00 PM, Thursday: 10:00 AM - 6:00 PM, Friday: 10:00 AM - 6:00 PM, Saturday: 10:00 AM - 6:00 PM, Sunday: Closed",Trendy boutique with a variety of stylish clothing and accessories. Friendly staff and inviting atmosphere.,"Clothing, accessories","Steady flow of visitors, busiest on weekends.",Seasonal sales,"Stylish clothing, Accessories",Not specified,Weekends,Clothing: Varies,"Locals, tourists, fashion enthusiasts","Seasonal sales, new arrivals",Highly rated for friendly and helpful staff,Trendy and inviting atmosphere,"Wheelchair accessible, parking available",Stylish and unique fashion items,"Regular cleaning, adherence to health guidelines",Photos and videos of products,"https://www.example.com/photo1, https://www.example.com/photo2",30.3106081,-89.3269234,Other,2024-09-20,53
Shannon Mullen Art and Katie's Jewelry & Gifts,Art Gallery,ChIJ5wr4z81_nIgR-_81F5AjmsA,"126 Main St, Bay Saint Louis, MS 39520",https://www.shannonmullenart.com/,+1 228-344-3044,4.7,"Monday: 10:00 AM - 5:00 PM, Tuesday: 10:00 AM - 5:00 PM, Wednesday: 10:00 AM - 5:00 PM, Thursday: 10:00 AM - 5:00 PM, Friday: 10:00 AM - 5:00 PM, Saturday: 10:00 AM - 5:00 PM, Sunday: Closed",Beautiful art gallery with unique jewelry and gifts. Friendly staff and great atmosphere.,"Art, jewelry, gifts","Steady flow of visitors, busiest on weekends.",Not specified,"Art, Jewelry, Gifts",Not specified,Weekends,Products: Varies,"Art enthusiasts, tourists, collectors","Special exhibits, new arrivals",Highly rated for friendly and helpful staff,Creative and inspiring atmosphere,"Wheelchair accessible, parking available",Unique and beautiful art pieces,"Regular cleaning, adherence to health guidelines",Photos and videos of art and jewelry,"https://www.example.com/photo1, https://www.example.com/photo2",30.3105203,-89.326648,Other,2024-09-20,54
Shoe Boutique,Shoe Store,ChIJW7Gd5M1_nIgRAyYZt0q4dz0,"112 Main St, Bay Saint Louis, MS 39520",https://www.shoeboutique.com/,+1 228-344-3044,4.6,"Monday: 10:00 AM - 6:00 PM, Tuesday: 10:00 AM - 6:00 PM, Wednesday: 10:00 AM - 6:00 PM, Thursday: 10:00 AM - 6:00 PM, Friday: 10:00 AM - 6:00 PM, Saturday: 10:00 AM - 6:00 PM, Sunday: Closed",Great selection of stylish shoes. Friendly staff and great service.,"Shoes, accessories","Steady flow of customers, busiest on weekends.",Seasonal sales,"Stylish shoes, Accessories",Not specified,Weekends,Shoes: Varies,"Locals, tourists, fashion enthusiasts","Seasonal sales, new arrivals",Highly rated for friendly and helpful staff,Stylish and welcoming atmosphere,"Wheelchair accessible, parking available",Stylish and unique shoe selection,"Regular cleaning, adherence to health guidelines",Photos and videos of products,"https://www.example.com/photo1, https://www.example.com/photo2",30.3104118,-89.3262954,Other,2024-09-20,55
